# forecast_id: 31ae8548-9a07-11e9-b2f4-0a580a8003d5
# metadata: https://api.solarforecastarbiter.org/forecasts/single/31ae8548-9a07-11e9-b2f4-0a580a8003d5/metadata
timestamp,value
20190525T05:00:00+0000,0.0
20190525T06:00:00+0000,0.0
20190525T07:00:00+0000,0.0
20190525T08:00:00+0000,0.0
20190525T09:00:00+0000,0.0
20190525T10:00:00+0000,0.0
20190525T11:00:00+0000,0.0
20190525T12:00:00+0000,0.0
20190525T13:00:00+0000,13.8502
20190525T14:00:00+0000,168.77
20190525T15:00:00+0000,396.009
20190525T16:00:00+0000,614.315
20190525T17:00:00+0000,800.513
20190525T18:00:00+0000,939.948
20190525T19:00:00+0000,1022.43
20190525T20:00:00+0000,1042.08
20190525T21:00:00+0000,997.511
20190525T22:00:00+0000,891.907
20190525T23:00:00+0000,732.867
20190526T00:00:00+0000,532.235
20190526T01:00:00+0000,306.77
20190526T02:00:00+0000,90.1855
20190526T03:00:00+0000,0.809857
20190526T04:00:00+0000,0.0
20190526T05:00:00+0000,0.0
20190526T06:00:00+0000,0.0
20190526T07:00:00+0000,0.0
20190526T08:00:00+0000,0.0
20190526T09:00:00+0000,0.0
20190526T10:00:00+0000,0.0
20190526T11:00:00+0000,0.0
20190526T12:00:00+0000,0.0
20190526T13:00:00+0000,14.2403
20190526T14:00:00+0000,169.812
20190526T15:00:00+0000,396.809
20190526T16:00:00+0000,614.833
20190526T17:00:00+0000,800.815
20190526T18:00:00+0000,940.126
20190526T19:00:00+0000,1022.58
20190526T20:00:00+0000,1042.31
20190526T21:00:00+0000,997.928
20190526T22:00:00+0000,892.589
20190526T23:00:00+0000,733.876
20190527T00:00:00+0000,533.606
20190527T01:00:00+0000,308.474
20190527T02:00:00+0000,91.7895
20190527T03:00:00+0000,0.910959
20190527T04:00:00+0000,0.0
20190527T05:00:00+0000,0.0
20190527T06:00:00+0000,0.0
20190527T07:00:00+0000,0.0
20190527T08:00:00+0000,0.0
20190527T09:00:00+0000,0.0
20190527T10:00:00+0000,0.0
20190527T11:00:00+0000,0.0
20190527T12:00:00+0000,0.0
20190527T13:00:00+0000,14.6097
20190527T14:00:00+0000,170.771
20190527T15:00:00+0000,358.768
20190527T16:00:00+0000,323.329
20190527T17:00:00+0000,582.37
20190527T18:00:00+0000,928.034
20190527T19:00:00+0000,1002.76
20190527T20:00:00+0000,1035.75
20190527T21:00:00+0000,985.348
20190527T22:00:00+0000,893.254
20190527T23:00:00+0000,730.092
20190528T00:00:00+0000,531.48
20190528T01:00:00+0000,310.155
20190528T02:00:00+0000,93.3791
20190528T03:00:00+0000,1.01963
20190528T04:00:00+0000,0.0
20190528T05:00:00+0000,0.0
20190528T06:00:00+0000,0.0
20190528T07:00:00+0000,0.0
20190528T08:00:00+0000,0.0
20190528T09:00:00+0000,0.0
20190528T10:00:00+0000,0.0
20190528T11:00:00+0000,0.0
20190528T12:00:00+0000,0.0
20190528T13:00:00+0000,14.9572
20190528T14:00:00+0000,171.646
20190528T15:00:00+0000,398.162
20190528T16:00:00+0000,615.655
20190528T17:00:00+0000,801.244
20190528T18:00:00+0000,940.344
20190528T19:00:00+0000,1022.79
20190528T20:00:00+0000,1042.71
20190528T21:00:00+0000,998.706
20190528T22:00:00+0000,870.663
20190528T23:00:00+0000,731.063
20190529T00:00:00+0000,490.973
20190529T01:00:00+0000,307.757
20190529T02:00:00+0000,94.9526
20190529T03:00:00+0000,1.1274
20190529T04:00:00+0000,0.0
20190529T05:00:00+0000,0.0
20190529T06:00:00+0000,0.0
20190529T07:00:00+0000,0.0
20190529T08:00:00+0000,0.0
20190529T09:00:00+0000,0.0
20190529T10:00:00+0000,0.0
20190529T11:00:00+0000,0.0
20190529T12:00:00+0000,0.0
20190529T13:00:00+0000,15.2818
20190529T14:00:00+0000,172.439
20190529T15:00:00+0000,398.718
20190529T16:00:00+0000,615.962
20190529T17:00:00+0000,801.373
20190529T18:00:00+0000,940.387
20190529T19:00:00+0000,1022.85
20190529T20:00:00+0000,1042.88
20190529T21:00:00+0000,999.068
20190529T22:00:00+0000,894.539
20190529T23:00:00+0000,736.808
20190530T00:00:00+0000,537.601
20190530T01:00:00+0000,313.441
20190530T02:00:00+0000,96.5082
20190530T03:00:00+0000,1.25615
20190530T04:00:00+0000,0.0
20190530T05:00:00+0000,0.0
